year,driverId,constructorId
2021,846,1
2021,817,1
2021,840,117
2021,20,117
2021,1,131
2021,822,131
2021,853,210
2021,854,210
2021,842,213
2021,852,213
2021,839,214
2021,4,214
2021,849,3
2021,847,3
2021,841,51
2021,9,51
2021,8,51
2021,844,6
2021,832,6
2021,815,9
2021,830,9
2020,846,1
2020,832,1
2020,847,131
2020,1,131
2020,822,131
2020,825,210
2020,850,210
2020,154,210
2020,815,211
2020,840,211
2020,807,211
2020,842,213
2020,826,213
2020,847,3
2020,851,3
2020,849,3
2020,839,4
2020,817,4
2020,841,51
2020,8,51
2020,20,6
2020,844,6
2020,848,9
2020,830,9
2019,846,1
2019,832,1
2019,822,131
2019,1,131
2019,825,210
2019,154,210
2019,840,211
2019,815,211
2019,847,3
2019,9,3
2019,807,4
2019,817,4
2019,826,5
2019,842,5
2019,848,5
2019,8,51
2019,841,51
2019,20,6
2019,844,6
2019,842,9
2019,848,9
2019,830,9
2018,838,1
2018,4,1
2018,815,10
2018,839,10
2018,1,131
2018,822,131
2018,828,15
2018,844,15
2018,825,210
2018,154,210
2018,845,3
2018,840,3
2018,807,4
2018,832,4
2018,842,5
2018,843,5
2018,20,6
2018,8,6
2018,830,9
2018,817,9
2017,18,1
2017,838,1
2017,4,1
2017,815,10
2017,839,10
2017,1,131
2017,822,131
2017,828,15
2017,836,15
2017,841,15
2017,825,210
2017,154,210
2017,814,3
2017,840,3
2017,13,3
2017,807,4
2017,832,4
2017,835,4
2017,843,5
2017,832,5
2017,842,5
2017,826,5
2017,8,6
2017,20,6
2017,817,9
2017,830,9
2016,838,1
2016,18,1
2016,4,1
2016,815,10
2016,807,10
2016,3,131
2016,1,131
2016,828,15
2016,831,15
2016,836,209
2016,839,209
2016,837,209
2016,821,210
2016,154,210
2016,822,3
2016,13,3
2016,825,4
2016,835,4
2016,826,5
2016,830,5
2016,832,5
2016,8,6
2016,20,6
2016,826,9
2016,830,9
2016,817,9
2015,4,1
2015,18,1
2015,825,1
2015,815,10
2015,807,10
2015,3,131
2015,1,131
2015,831,15
2015,828,15
2015,154,208
2015,813,208
2015,829,209
2015,834,209
2015,833,209
2015,822,3
2015,13,3
2015,832,5
2015,830,5
2015,20,6
2015,8,6
2015,826,9
2015,817,9
2014,18,1
2014,825,1
2014,815,10
2014,807,10
2014,3,131
2014,1,131
2014,16,15
2014,821,15
2014,824,206
2014,820,206
2014,828,207
2014,829,207
2014,827,207
2014,155,207
2014,813,208
2014,154,208
2014,13,3
2014,822,3
2014,826,5
2014,818,5
2014,8,6
2014,4,6
2014,817,9
2014,20,9
2013,815,1
2013,18,1
2013,16,10
2013,814,10
2013,3,131
2013,1,131
2013,821,15
2013,807,15
2013,820,206
2013,824,206
2013,823,207
2013,819,207
2013,5,208
2013,8,208
2013,154,208
2013,822,3
2013,813,3
2013,818,5
2013,817,5
2013,13,6
2013,4,6
2013,17,9
2013,20,9
2012,1,1
2012,18,1
2012,814,10
2012,807,10
2012,3,131
2012,30,131
2012,815,15
2012,155,15
2012,37,164
2012,39,164
2012,10,206
2012,819,206
2012,5,207
2012,808,207
2012,8,208
2012,154,208
2012,816,208
2012,811,3
2012,813,3
2012,818,5
2012,817,5
2012,4,6
2012,13,6
2012,20,9
2012,17,9
2011,1,1
2011,18,1
2011,814,10
2011,16,10
2011,3,131
2011,30,131
2011,815,15
2011,155,15
2011,37,15
2011,24,164
2011,817,164
2011,39,164
2011,816,166
2011,10,166
2011,15,205
2011,5,205
2011,812,205
2011,813,3
2011,22,3
2011,2,4
2011,808,4
2011,811,4
2011,153,5
2011,67,5
2011,13,6
2011,4,6
2011,17,9
2011,20,9
2010,18,1
2010,1,1
2010,16,10
2010,24,10
2010,3,131
2010,30,131
2010,2,15
2010,37,15
2010,155,15
2010,812,164
2010,32,164
2010,811,164
2010,29,164
2010,810,166
2010,10,166
2010,15,205
2010,5,205
2010,22,3
2010,807,3
2010,808,4
2010,9,4
2010,67,5
2010,153,5
2010,13,6
2010,4,6
2010,17,9
2010,20,9
2009,1,1
2009,5,1
2009,16,10
2009,24,10
2009,21,10
2009,2,2
2009,9,2
2009,22,23
2009,18,23
2009,6,3
2009,3,3
2009,154,4
2009,12,4
2009,4,4
2009,67,5
2009,7,5
2009,153,5
2009,21,6
2009,8,6
2009,13,6
2009,69,6
2009,15,7
2009,155,7
2009,10,7
2009,20,9
2009,17,9
2008,5,1
2008,1,1
2008,21,10
2008,16,10
2008,18,11
2008,22,11
2008,9,2
2008,2,2
2008,6,3
2008,3,3
2008,4,4
2008,12,4
2008,7,5
2008,20,5
2008,8,6
2008,13,6
2008,10,7
2008,15,7
2008,19,8
2008,11,8
2008,14,9
2008,17,9
2007,4,1
2007,1,1
2007,18,11
2007,22,11
2007,28,12
2007,27,12
2007,16,12
2007,29,12
2007,2,2
2007,9,2
2007,20,2
2007,25,3
2007,3,3
2007,6,3
2007,21,4
2007,5,4
2007,24,5
2007,26,5
2007,20,5
2007,8,6
2007,13,6
2007,23,7
2007,15,7
2007,11,8
2007,19,8
2007,14,9
2007,17,9
2006,31,1
2006,8,1
2006,37,1
2006,22,11
2006,18,11
2006,33,13
2006,27,13
2006,27,14
2006,33,14
2006,35,2
2006,2,2
2006,9,2
2006,17,3
2006,3,3
2006,21,4
2006,4,4
2006,26,5
2006,24,5
2006,13,6
2006,30,6
2006,23,7
2006,15,7
2006,29,8
2006,34,8
2006,36,8
2006,11,8
2006,32,9
2006,14,9
2006,38,9
2005,8,1
2005,37,1
2005,31,1
2005,25,1
2005,13,15
2005,35,15
2005,18,16
2005,19,16
2005,11,16
2005,33,17
2005,39,17
2005,40,18
2005,27,18
2005,38,18
2005,17,3
2005,42,3
2005,2,3
2005,21,4
2005,4,4
2005,30,6
2005,22,6
2005,41,7
2005,23,7
2005,15,7
2005,32,9
2005,14,9
2005,24,9
2004,14,1
2004,8,1
2004,13,15
2004,21,15
2004,18,16
2004,11,16
2004,2,17
2004,45,17
2004,10,17
2004,47,18
2004,46,18
2004,17,19
2004,32,19
2004,31,3
2004,48,3
2004,23,3
2004,42,3
2004,35,4
2004,4,4
2004,15,4
2004,30,6
2004,22,6
2004,41,7
2004,15,7
2004,43,7
2004,44,7
2003,14,1
2003,8,1
2003,2,15
2003,49,15
2003,18,16
2003,35,16
2003,11,16
2003,52,17
2003,47,17
2003,21,17
2003,53,18
2003,50,18
2003,51,18
2003,51,19
2003,42,19
2003,17,19
2003,31,3
2003,23,3
2003,48,3
2003,4,4
2003,15,4
2003,22,6
2003,30,6
2003,43,7
2003,44,7
2002,14,1
2002,8,1
2002,13,15
2002,49,15
2002,2,15
2002,35,16
2002,44,16
2002,11,17
2002,21,17
2002,17,18
2002,62,18
2002,19,18
2002,56,19
2002,37,19
2002,59,21
2002,49,21
2002,23,3
2002,31,3
2002,15,4
2002,18,4
2002,30,6
2002,22,6
2002,63,7
2002,66,7
2001,57,1
2001,14,1
2001,2,15
2001,8,15
2001,35,16
2001,44,16
2001,41,17
2001,15,17
2001,49,17
2001,55,17
2001,62,18
2001,58,18
2001,4,18
2001,37,19
2001,56,19
2001,54,19
2001,49,20
2001,54,20
2001,55,20
2001,60,20
2001,61,20
2001,59,21
2001,50,21
2001,18,22
2001,21,22
2001,31,3
2001,23,3
2001,22,6
2001,30,6
2000,14,1
2000,57,1
2000,64,15
2000,63,15
2000,41,16
2000,35,16
2000,15,17
2000,49,17
2000,48,18
2000,60,18
2000,54,19
2000,56,19
2000,65,19
2000,55,20
2000,2,20
2000,37,21
2000,50,21
2000,21,22
2000,25,22
2000,18,3
2000,23,3
2000,22,6
2000,30,6
1999,57,1
1999,14,1
1999,55,15
1999,64,15
1999,63,16
1999,41,16
1999,35,16
1999,49,17
1999,71,17
1999,72,18
1999,48,18
1999,69,18
1999,44,20
1999,15,20
1999,68,21
1999,37,21
1999,25,22
1999,21,22
1999,22,24
1999,65,24
1999,70,3
1999,23,3
1999,56,6
1999,63,6
1999,30,6
1998,57,1
1998,14,1
1998,55,15
1998,65,15
1998,23,17
1998,71,17
1998,75,18
1998,74,18
1998,15,20
1998,44,20
1998,63,21
1998,64,21
1998,25,22
1998,21,22
1998,76,24
1998,50,24
1998,22,24
1998,68,25
1998,73,25
1998,49,3
1998,35,3
1998,56,6
1998,30,6
1997,14,1
1997,57,1
1997,65,15
1997,78,15
1997,81,15
1997,82,15
1997,21,17
1997,23,17
1997,79,18
1997,15,18
1997,58,18
1997,75,20
1997,44,20
1997,15,20
1997,64,21
1997,71,21
1997,55,22
1997,25,22
1997,77,22
1997,76,24
1997,22,24
1997,50,25
1997,63,25
1997,73,26
1997,80,26
1997,49,3
1997,35,3
1997,30,6
1997,56,6
1996,14,1
1996,57,1
1996,49,15
1996,65,15
1996,22,17
1996,84,17
1996,21,18
1996,58,18
1996,83,18
1996,86,18
1996,55,22
1996,77,22
1996,79,25
1996,63,25
1996,64,27
1996,44,27
1996,69,28
1996,85,28
1996,73,29
1996,50,29
1996,71,3
1996,35,3
1996,56,6
1996,30,6
1995,57,1
1995,95,1
1995,87,1
1995,76,1
1995,49,15
1995,96,15
1995,91,15
1995,22,17
1995,56,17
1995,94,18
1995,83,18
1995,69,18
1995,65,22
1995,30,22
1995,63,25
1995,79,25
1995,99,25
1995,44,27
1995,84,27
1995,88,27
1995,90,28
1995,64,28
1995,89,29
1995,81,29
1995,97,29
1995,71,3
1995,14,3
1995,86,30
1995,98,30
1995,85,30
1995,92,30
1995,50,31
1995,93,31
1995,77,6
1995,55,6
1994,57,1
1994,84,1
1994,112,1
1994,110,15
1994,91,15
1994,109,15
1994,49,15
1994,56,17
1994,22,17
1994,110,17
1994,88,17
1994,105,18
1994,94,18
1994,109,22
1994,30,22
1994,50,22
1994,65,22
1994,79,25
1994,87,25
1994,103,27
1994,44,27
1994,116,27
1994,65,27
1994,81,29
1994,104,29
1994,102,3
1994,95,3
1994,14,3
1994,71,3
1994,92,30
1994,108,30
1994,85,31
1994,111,31
1994,89,31
1994,107,31
1994,101,31
1994,93,31
1994,65,32
1994,113,32
1994,70,32
1994,103,32
1994,83,32
1994,63,32
1994,114,33
1994,112,33
1994,106,33
1994,98,33
1994,100,33
1994,115,33
1994,77,6
1994,55,6
1994,78,6
1993,121,1
1993,57,1
1993,102,1
1993,91,15
1993,109,15
1993,124,17
1993,125,17
1993,122,17
1993,123,17
1993,22,17
1993,56,17
1993,94,18
1993,120,18
1993,111,18
1993,104,18
1993,30,22
1993,119,22
1993,110,25
1993,79,25
1993,105,26
1993,69,26
1993,87,27
1993,84,27
1993,88,29
1993,118,29
1993,117,3
1993,71,3
1993,83,32
1993,70,32
1993,65,32
1993,126,33
1993,100,33
1993,112,33
1993,77,6
1993,55,6
1992,102,1
1992,77,1
1992,131,17
1992,127,17
1992,70,18
1992,81,18
1992,104,18
1992,30,22
1992,84,22
1992,129,25
1992,110,25
1992,123,27
1992,100,27
1992,88,29
1992,105,29
1992,95,3
1992,119,3
1992,57,32
1992,65,32
1992,92,33
1992,79,33
1992,128,34
1992,71,34
1992,132,34
1992,94,35
1992,109,35
1992,130,36
1992,99,36
1992,128,36
1992,108,37
1992,91,37
1992,125,37
1992,136,37
1992,90,38
1992,135,38
1992,122,6
1992,78,6
1992,55,6
1991,102,1
1991,77,1
1991,70,17
1991,92,17
1991,110,17
1991,90,17
1991,30,17
1991,81,18
1991,90,18
1991,94,18
1991,137,22
1991,30,22
1991,90,22
1991,131,25
1991,138,25
1991,88,26
1991,103,26
1991,123,27
1991,100,27
1991,105,29
1991,133,29
1991,140,29
1991,119,3
1991,95,3
1991,65,32
1991,57,32
1991,143,32
1991,141,32
1991,103,33
1991,92,33
1991,88,33
